symbol,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,lot_size,pnl_points,pnl_usd,equity
SP500.,short,2025-09-05 17:15:00+02:00,6514.87,2025-09-05 17:30:00+02:00,6518.626509683354,SL,1.7,-375.7,-6.39,318.29
NAS100.,long,2025-09-05 17:45:00+02:00,23802.96,2025-09-05 18:15:00+02:00,23853.5965079876,SL,0.2,5063.7,10.13,328.42
DJ30.,long,2025-09-05 18:45:00+02:00,45730.81,2025-09-05 18:45:00+02:00,45677.492061964665,SL,0.1,-5331.8,-5.33,323.09
SP500.,long,2025-09-05 18:00:00+02:00,6532.47,2025-09-05 18:45:00+02:00,6525.639387108481,SL,0.9,-683.1,-6.15,316.94
SP500.,short,2025-09-05 19:15:00+02:00,6505.72,2025-09-05 19:15:00+02:00,6482.808606234161,TP,0.8,2291.1,18.33,335.27
DJ30.,short,2025-09-05 19:30:00+02:00,45404.81,2025-09-05 19:45:00+02:00,45325.8007628212,SL,0.1,7900.9,7.9,343.17
DJ30.,short,2025-09-08 17:15:00+02:00,45464.45,2025-09-08 17:15:00+02:00,45495.80789609581,SL,0.2,-3135.8,-6.27,336.9
NAS100.,short,2025-09-08 17:15:00+02:00,23729.05,2025-09-08 17:30:00+02:00,23748.41077947923,SL,0.4,-1936.1,-7.74,329.16
SP500.,short,2025-09-08 17:15:00+02:00,6496.35,2025-09-08 17:30:00+02:00,6500.684034573865,SL,1.6,-433.4,-6.93,322.23
SP500.,long,2025-09-08 19:45:00+02:00,6509.73,2025-09-08 20:45:00+02:00,6503.1686234596855,SL,1.0,-656.1,-6.56,315.67
NAS100.,short,2025-09-09 18:15:00+02:00,23812.1,2025-09-09 18:30:00+02:00,23832.872797336084,SL,0.3,-2077.3,-6.23,309.44
SP500.,short,2025-09-09 18:15:00+02:00,6506.68,2025-09-09 18:30:00+02:00,6511.082952014822,SL,1.4,-440.3,-6.16,303.28
NAS100.,short,2025-09-09 19:00:00+02:00,23805.35,2025-09-09 19:00:00+02:00,23831.694988428342,SL,0.2,-2634.5,-5.27,298.01
DJ30.,short,2025-09-09 19:30:00+02:00,45534.08,2025-09-09 19:30:00+02:00,45586.49619553894,SL,0.1,-5241.6,-5.24,292.77
NAS100.,short,2025-09-09 19:30:00+02:00,23799.6,2025-09-09 19:45:00+02:00,23736.449896449463,SL,0.2,6315.0,12.63,305.4
SP500.,short,2025-09-09 19:30:00+02:00,6504.05,2025-09-09 19:45:00+02:00,6492.395641943207,SL,0.9,1165.4,10.49,315.89
DJ30.,long,2025-09-10 17:45:00+02:00,45769.16,2025-09-10 18:15:00+02:00,45726.83418052555,SL,0.1,-4232.6,-4.23,311.66
DJ30.,short,2025-09-10 19:45:00+02:00,45579.46,2025-09-10 20:15:00+02:00,45474.36976496816,SL,0.1,10509.0,10.51,322.17
DJ30.,long,2025-09-11 18:00:00+02:00,45680.41,2025-09-11 18:00:00+02:00,45638.231700906574,SL,0.2,-4217.8,-8.44,313.73
NAS100.,long,2025-09-11 18:30:00+02:00,23973.4,2025-09-11 18:30:00+02:00,23944.1493532395,SL,0.2,-2925.1,-5.85,307.88
DJ30.,long,2025-09-11 18:45:00+02:00,45757.41,2025-09-11 18:45:00+02:00,45925.620156459474,TP,0.1,16821.0,16.82,324.7
