symbol,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,lot_size,pnl_points,pnl_usd,equity
SP500.,long,2025-09-26 18:45:00+02:00,6642.42,2025-09-26 19:00:00+02:00,6632.500940557554,SL,2.3,-991.9,-22.81,876.27
NAS100.,long,2025-09-29 19:00:00+02:00,24749.35,2025-09-29 20:00:00+02:00,24719.847343093148,SL,0.7,-2950.3,-20.65,855.62
SP500.,short,2025-09-29 20:15:00+02:00,6671.7,2025-09-29 22:30:00+02:00,6657.9202612563395,SL,2.8,1378.0,38.58,894.2
DJ30.,long,2025-09-30 18:45:00+02:00,46367.54,2025-09-30 18:45:00+02:00,46327.23150142629,SL,0.6,-4030.8,-24.19,870.01
NAS100.,short,2025-09-30 19:15:00+02:00,24577.44,2025-09-30 19:30:00+02:00,24614.686767612806,SL,0.6,-3724.7,-22.35,847.66
NAS100.,long,2025-10-01 18:45:00+02:00,24636.94,2025-10-01 18:45:00+02:00,24598.539863867503,SL,0.6,-3840.0,-23.04,824.62
NAS100.,long,2025-10-01 19:15:00+02:00,24639.74,2025-10-01 20:30:00+02:00,24720.282019446688,SL,0.4,8054.2,32.22,856.84
SP500.,long,2025-10-01 19:30:00+02:00,6686.82,2025-10-01 22:15:00+02:00,6708.407009617772,SL,2.0,2158.7,43.17,900.01
DJ30.,long,2025-10-02 18:30:00+02:00,46491.54,2025-10-02 18:30:00+02:00,46593.90333036127,SL,0.7,10236.3,71.65,971.66
SP500.,short,2025-10-02 18:45:00+02:00,6721.6,2025-10-02 18:45:00+02:00,6726.880337516934,SL,4.6,-528.0,-24.29,947.37
NAS100.,short,2025-10-02 18:45:00+02:00,24862.89,2025-10-02 19:00:00+02:00,24892.007737399086,SL,0.8,-2911.8,-23.29,924.08
SP500.,short,2025-10-02 19:15:00+02:00,6716.62,2025-10-02 20:00:00+02:00,6703.773575592575,SL,3.7,1284.6,47.53,971.61
DJ30.,short,2025-10-02 20:15:00+02:00,46326.54,2025-10-02 20:30:00+02:00,46386.72619678577,SL,0.4,-6018.6,-24.07,947.54
NAS100.,short,2025-10-02 20:00:00+02:00,24834.89,2025-10-02 20:45:00+02:00,24867.877182539392,SL,0.7,-3298.7,-23.09,924.45
DJ30.,short,2025-10-03 17:45:00+02:00,46624.24,2025-10-03 18:30:00+02:00,46653.861529724054,SL,0.8,-2962.2,-23.7,900.75
SP500.,long,2025-10-03 19:45:00+02:00,6750.97,2025-10-03 20:30:00+02:00,6744.093188728064,SL,3.3,-687.7,-22.69,878.06
SP500.,short,2025-10-06 18:45:00+02:00,6734.1,2025-10-06 20:00:00+02:00,6740.189578051054,SL,3.6,-609.0,-21.92,856.14
DJ30.,short,2025-10-07 20:15:00+02:00,46622.42,2025-10-07 20:15:00+02:00,46682.666388524834,SL,0.4,-6024.6,-24.1,832.04
DJ30.,short,2025-10-07 21:00:00+02:00,46559.42,2025-10-07 21:30:00+02:00,46620.11962289369,SL,0.3,-6070.0,-18.21,813.83
NAS100.,short,2025-10-08 17:15:00+02:00,24874.0,2025-10-08 18:00:00+02:00,24898.78502234652,SL,0.8,-2478.5,-19.83,794.0
DJ30.,short,2025-10-08 18:45:00+02:00,46584.07,2025-10-08 18:45:00+02:00,46636.88515227109,SL,0.4,-5281.5,-21.13,772.87
NAS100.,long,2025-10-08 18:45:00+02:00,24956.25,2025-10-08 19:00:00+02:00,25043.043297545697,SL,0.7,8679.3,60.76,833.63
SP500.,long,2025-10-08 19:15:00+02:00,6748.13,2025-10-09 01:00:00+02:00,6759.947820278368,SL,2.9,1181.8,34.27,867.9
NAS100.,short,2025-10-09 18:45:00+02:00,25104.25,2025-10-09 18:45:00+02:00,25130.885368202315,SL,0.8,-2663.5,-21.31,846.59
NAS100.,short,2025-10-09 19:15:00+02:00,25099.5,2025-10-09 19:30:00+02:00,25041.447325971818,SL,0.7,5805.3,40.64,887.23
DJ30.,short,2025-10-09 19:15:00+02:00,46539.42,2025-10-09 19:30:00+02:00,46438.53097302351,SL,0.4,10088.9,40.36,927.59
SP500.,short,2025-10-09 19:00:00+02:00,6748.68,2025-10-09 19:30:00+02:00,6734.052613965097,SL,3.6,1462.7,52.66,980.25
NAS100.,long,2025-10-10 18:45:00+02:00,25197.75,2025-10-10 18:45:00+02:00,25167.913217684727,SL,0.8,-2983.7,-23.87,956.38
DJ30.,short,2025-10-10 20:00:00+02:00,46253.47,2025-10-10 20:00:00+02:00,46031.20361527129,TP,0.4,22226.6,88.91,1045.29
DJ30.,long,2025-10-13 19:00:00+02:00,46037.45,2025-10-13 19:15:00+02:00,45946.89768781481,SL,0.3,-9055.2,-27.17,1018.12
SP500.,long,2025-10-13 19:00:00+02:00,6655.9,2025-10-13 19:15:00+02:00,6641.748474404792,SL,1.8,-1415.2,-25.47,992.65
SP500.,short,2025-10-14 18:45:00+02:00,6563.46,2025-10-14 18:45:00+02:00,6579.732592473672,SL,1.5,-1627.3,-24.41,968.24
SP500.,long,2025-10-14 19:30:00+02:00,6624.59,2025-10-14 21:15:00+02:00,6659.572474757339,SL,1.2,3498.2,41.98,1010.22
DJ30.,long,2025-10-15 18:45:00+02:00,46622.6,2025-10-15 18:45:00+02:00,46565.70491661656,SL,0.4,-5689.5,-22.76,987.46
NAS100.,long,2025-10-15 19:15:00+02:00,24925.57,2025-10-15 20:30:00+02:00,24872.9638450297,SL,0.5,-5260.6,-26.3,961.16
DJ30.,short,2025-10-15 20:45:00+02:00,46426.6,2025-10-15 22:00:00+02:00,46166.33772418081,SL,0.3,26026.2,78.08,1039.24
NAS100.,long,2025-10-16 17:45:00+02:00,24943.85,2025-10-16 18:15:00+02:00,24909.352031754956,SL,0.8,-3449.8,-27.6,1011.64
DJ30.,short,2025-10-16 19:15:00+02:00,46306.86,2025-10-16 19:15:00+02:00,46381.60709775543,SL,0.3,-7474.7,-22.42,989.22
SP500.,short,2025-10-16 19:15:00+02:00,6685.86,2025-10-16 19:15:00+02:00,6696.240428621433,SL,2.4,-1038.0,-24.91,964.31
NAS100.,long,2025-10-16 19:45:00+02:00,25018.1,2025-10-16 19:45:00+02:00,24961.181136503135,SL,0.4,-5691.9,-22.77,941.54
SP500.,short,2025-10-16 20:30:00+02:00,6684.36,2025-10-16 21:15:00+02:00,6655.74861038021,SL,1.6,2861.1,45.78,987.32
NAS100.,short,2025-10-16 21:00:00+02:00,24821.1,2025-10-16 21:30:00+02:00,24631.320282865305,SL,0.3,18978.0,56.93,1044.25
DJ30.,short,2025-10-16 21:00:00+02:00,46251.86,2025-10-16 21:30:00+02:00,46010.760467512286,SL,0.2,24110.0,48.22,1092.47
NAS100.,short,2025-10-21 18:45:00+02:00,25120.58,2025-10-21 19:15:00+02:00,25148.113370280993,SL,1.0,-2753.3,-27.53,1064.94
SP500.,long,2025-10-21 20:00:00+02:00,6754.0,2025-10-21 20:15:00+02:00,6746.588295201379,SL,3.6,-741.2,-26.68,1038.26
NAS100.,short,2025-10-22 19:15:00+02:00,25073.81,2025-10-22 19:15:00+02:00,24998.465151832734,SL,0.6,7534.5,45.21,1083.47
DJ30.,short,2025-10-22 19:15:00+02:00,46876.49,2025-10-22 21:00:00+02:00,46782.334135276215,SL,0.5,9415.6,47.08,1130.55
DJ30.,long,2025-10-23 18:45:00+02:00,46707.49,2025-10-23 18:45:00+02:00,46647.52731344466,SL,0.5,-5996.3,-29.98,1100.57
NAS100.,long,2025-10-23 19:00:00+02:00,25033.46,2025-10-23 19:00:00+02:00,24982.82090942943,SL,0.5,-5063.9,-25.32,1075.25
SP500.,long,2025-10-23 18:45:00+02:00,6723.49,2025-10-23 19:15:00+02:00,6713.993817914468,SL,2.9,-949.6,-27.54,1047.71
DJ30.,short,2025-10-27 17:45:00+01:00,47466.45,2025-10-27 17:45:00+01:00,47507.56060682087,SL,0.6,-4111.1,-24.67,1023.04
NAS100.,long,2025-10-27 18:30:00+01:00,25751.95,2025-10-27 22:30:00+01:00,25807.323588654446,SL,0.9,5537.4,49.84,1072.88
NAS100.,long,2025-10-29 18:00:00+01:00,26204.48,2025-10-29 18:00:00+01:00,26175.275276277247,SL,0.9,-2920.5,-26.28,1046.6
DJ30.,long,2025-10-30 17:45:00+01:00,47715.4,2025-10-30 17:45:00+01:00,47883.759784120615,SL,0.3,16836.0,50.51,1097.11
